,id,group,slice,height,width,img_path,msk_path
0,kidney_1_dense_0000,kidney_1_dense,0,1303,912,train/kidney_1_dense/images/0000.tif,train/kidney_1_dense/labels/0000.tif
1,kidney_1_dense_0001,kidney_1_dense,1,1303,912,train/kidney_1_dense/images/0001.tif,train/kidney_1_dense/labels/0001.tif
2,kidney_1_dense_0002,kidney_1_dense,2,1303,912,train/kidney_1_dense/images/0002.tif,train/kidney_1_dense/labels/0002.tif
3,kidney_1_dense_0003,kidney_1_dense,3,1303,912,train/kidney_1_dense/images/0003.tif,train/kidney_1_dense/labels/0003.tif
4,kidney_1_dense_0004,kidney_1_dense,4,1303,912,train/kidney_1_dense/images/0004.tif,train/kidney_1_dense/labels/0004.tif
5,kidney_1_dense_0005,kidney_1_dense,5,1303,912,train/kidney_1_dense/images/0005.tif,train/kidney_1_dense/labels/0005.tif
6,kidney_1_dense_0006,kidney_1_dense,6,1303,912,train/kidney_1_dense/images/0006.tif,train/kidney_1_dense/labels/0006.tif
7,kidney_1_dense_0007,kidney_1_dense,7,1303,912,train/kidney_1_dense/images/0007.tif,train/kidney_1_dense/labels/0007.tif
8,kidney_1_dense_0008,kidney_1_dense,8,1303,912,train/kidney_1_dense/images/0008.tif,train/kidney_1_dense/labels/0008.tif
9,kidney_1_dense_0009,kidney_1_dense,9,1303,912,train/kidney_1_dense/images/0009.tif,train/kidney_1_dense/labels/0009.tif
10,kidney_1_dense_0010,kidney_1_dense,10,1303,912,train/kidney_1_dense/images/0010.tif,train/kidney_1_dense/labels/0010.tif
11,kidney_1_dense_0011,kidney_1_dense,11,1303,912,train/kidney_1_dense/images/0011.tif,train/kidney_1_dense/labels/0011.tif
12,kidney_1_dense_0012,kidney_1_dense,12,1303,912,train/kidney_1_dense/images/0012.tif,train/kidney_1_dense/labels/0012.tif
13,kidney_1_dense_0013,kidney_1_dense,13,1303,912,train/kidney_1_dense/images/0013.tif,train/kidney_1_dense/labels/0013.tif
14,kidney_1_dense_0014,kidney_1_dense,14,1303,912,train/kidney_1_dense/images/0014.tif,train/kidney_1_dense/labels/0014.tif
15,kidney_1_dense_0015,kidney_1_dense,15,1303,912,train/kidney_1_dense/images/0015.tif,train/kidney_1_dense/labels/0015.tif
16,kidney_1_dense_0016,kidney_1_dense,16,1303,912,train/kidney_1_dense/images/0016.tif,train/kidney_1_dense/labels/0016.tif
17,kidney_1_dense_0017,kidney_1_dense,17,1303,912,train/kidney_1_dense/images/0017.tif,train/kidney_1_dense/labels/0017.tif
18,kidney_1_dense_0018,kidney_1_dense,18,1303,912,train/kidney_1_dense/images/0018.tif,train/kidney_1_dense/labels/0018.tif
19,kidney_1_dense_0019,kidney_1_dense,19,1303,912,train/kidney_1_dense/images/0019.tif,train/kidney_1_dense/labels/0019.tif
20,kidney_1_dense_0020,kidney_1_dense,20,1303,912,train/kidney_1_dense/images/0020.tif,train/kidney_1_dense/labels/0020.tif
21,kidney_1_dense_0021,kidney_1_dense,21,1303,912,train/kidney_1_dense/images/0021.tif,train/kidney_1_dense/labels/0021.tif
22,kidney_1_dense_0022,kidney_1_dense,22,1303,912,train/kidney_1_dense/images/0022.tif,train/kidney_1_dense/labels/0022.tif
23,kidney_1_dense_0023,kidney_1_dense,23,1303,912,train/kidney_1_dense/images/0023.tif,train/kidney_1_dense/labels/0023.tif
24,kidney_1_dense_0024,kidney_1_dense,24,1303,912,train/kidney_1_dense/images/0024.tif,train/kidney_1_dense/labels/0024.tif
25,kidney_1_dense_0025,kidney_1_dense,25,1303,912,train/kidney_1_dense/images/0025.tif,train/kidney_1_dense/labels/0025.tif
26,kidney_1_dense_0026,kidney_1_dense,26,1303,912,train/kidney_1_dense/images/0026.tif,train/kidney_1_dense/labels/0026.tif
27,kidney_1_dense_0027,kidney_1_dense,27,1303,912,train/kidney_1_dense/images/0027.tif,train/kidney_1_dense/labels/0027.tif
28,kidney_1_dense_0028,kidney_1_dense,28,1303,912,train/kidney_1_dense/images/0028.tif,train/kidney_1_dense/labels/0028.tif
29,kidney_1_dense_0029,kidney_1_dense,29,1303,912,train/kidney_1_dense/images/0029.tif,train/kidney_1_dense/labels/0029.tif
30,kidney_1_dense_0030,kidney_1_dense,30,1303,912,train/kidney_1_dense/images/0030.tif,train/kidney_1_dense/labels/0030.tif
31,kidney_1_dense_0031,kidney_1_dense,31,1303,912,train/kidney_1_dense/images/0031.tif,train/kidney_1_dense/labels/0031.tif
32,kidney_1_dense_0032,kidney_1_dense,32,1303,912,train/kidney_1_dense/images/0032.tif,train/kidney_1_dense/labels/0032.tif
33,kidney_1_dense_0033,kidney_1_dense,33,1303,912,train/kidney_1_dense/images/0033.tif,train/kidney_1_dense/labels/0033.tif
34,kidney_1_dense_0034,kidney_1_dense,34,1303,912,train/kidney_1_dense/images/0034.tif,train/kidney_1_dense/labels/0034.tif
35,kidney_1_dense_0035,kidney_1_dense,35,1303,912,train/kidney_1_dense/images/0035.tif,train/kidney_1_dense/labels/0035.tif
36,kidney_1_dense_0036,kidney_1_dense,36,1303,912,train/kidney_1_dense/images/0036.tif,train/kidney_1_dense/labels/0036.tif
37,kidney_1_dense_0037,kidney_1_dense,37,1303,912,train/kidney_1_dense/images/0037.tif,train/kidney_1_dense/labels/0037.tif
38,kidney_1_dense_0038,kidney_1_dense,38,1303,912,train/kidney_1_dense/images/0038.tif,train/kidney_1_dense/labels/0038.tif
39,kidney_1_dense_0039,kidney_1_dense,39,1303,912,train/kidney_1_dense/images/0039.tif,train/kidney_1_dense/labels/0039.tif
40,kidney_1_dense_0040,kidney_1_dense,40,1303,912,train/kidney_1_dense/images/0040.tif,train/kidney_1_dense/labels/0040.tif
41,kidney_1_dense_0041,kidney_1_dense,41,1303,912,train/kidney_1_dense/images/0041.tif,train/kidney_1_dense/labels/0041.tif
42,kidney_1_dense_0042,kidney_1_dense,42,1303,912,train/kidney_1_dense/images/0042.tif,train/kidney_1_dense/labels/0042.tif
43,kidney_1_dense_0043,kidney_1_dense,43,1303,912,train/kidney_1_dense/images/0043.tif,train/kidney_1_dense/labels/0043.tif
44,kidney_1_dense_0044,kidney_1_dense,44,1303,912,train/kidney_1_dense/images/0044.tif,train/kidney_1_dense/labels/0044.tif
45,kidney_1_dense_0045,kidney_1_dense,45,1303,912,train/kidney_1_dense/images/0045.tif,train/kidney_1_dense/labels/0045.tif
46,kidney_1_dense_0046,kidney_1_dense,46,1303,912,train/kidney_1_dense/images/0046.tif,train/kidney_1_dense/labels/0046.tif
47,kidney_1_dense_0047,kidney_1_dense,47,1303,912,train/kidney_1_dense/images/0047.tif,train/kidney_1_dense/labels/0047.tif
48,kidney_1_dense_0048,kidney_1_dense,48,1303,912,train/kidney_1_dense/images/0048.tif,train/kidney_1_dense/labels/0048.tif
49,kidney_1_dense_0049,kidney_1_dense,49,1303,912,train/kidney_1_dense/images/0049.tif,train/kidney_1_dense/labels/0049.tif
50,kidney_1_dense_0050,kidney_1_dense,50,1303,912,train/kidney_1_dense/images/0050.tif,train/kidney_1_dense/labels/0050.tif
51,kidney_1_dense_0051,kidney_1_dense,51,1303,912,train/kidney_1_dense/images/0051.tif,train/kidney_1_dense/labels/0051.tif
52,kidney_1_dense_0052,kidney_1_dense,52,1303,912,train/kidney_1_dense/images/0052.tif,train/kidney_1_dense/labels/0052.tif
53,kidney_1_dense_0053,kidney_1_dense,53,1303,912,train/kidney_1_dense/images/0053.tif,train/kidney_1_dense/labels/0053.tif
54,kidney_1_dense_0054,kidney_1_dense,54,1303,912,train/kidney_1_dense/images/0054.tif,train/kidney_1_dense/labels/0054.tif
55,kidney_1_dense_0055,kidney_1_dense,55,1303,912,train/kidney_1_dense/images/0055.tif,train/kidney_1_dense/labels/0055.tif
56,kidney_1_dense_0056,kidney_1_dense,56,1303,912,train/kidney_1_dense/images/0056.tif,train/kidney_1_dense/labels/0056.tif
57,kidney_1_dense_0057,kidney_1_dense,57,1303,912,train/kidney_1_dense/images/0057.tif,train/kidney_1_dense/labels/0057.tif
58,kidney_1_dense_0058,kidney_1_dense,58,1303,912,train/kidney_1_dense/images/0058.tif,train/kidney_1_dense/labels/0058.tif
59,kidney_1_dense_0059,kidney_1_dense,59,1303,912,train/kidney_1_dense/images/0059.tif,train/kidney_1_dense/labels/0059.tif
60,kidney_1_dense_0060,kidney_1_dense,60,1303,912,train/kidney_1_dense/images/0060.tif,train/kidney_1_dense/labels/0060.tif
61,kidney_1_dense_0061,kidney_1_dense,61,1303,912,train/kidney_1_dense/images/0061.tif,train/kidney_1_dense/labels/0061.tif
62,kidney_1_dense_0062,kidney_1_dense,62,1303,912,train/kidney_1_dense/images/0062.tif,train/kidney_1_dense/labels/0062.tif
63,kidney_1_dense_0063,kidney_1_dense,63,1303,912,train/kidney_1_dense/images/0063.tif,train/kidney_1_dense/labels/0063.tif
64,kidney_1_dense_0064,kidney_1_dense,64,1303,912,train/kidney_1_dense/images/0064.tif,train/kidney_1_dense/labels/0064.tif
65,kidney_1_dense_0065,kidney_1_dense,65,1303,912,train/kidney_1_dense/images/0065.tif,train/kidney_1_dense/labels/0065.tif
66,kidney_1_dense_0066,kidney_1_dense,66,1303,912,train/kidney_1_dense/images/0066.tif,train/kidney_1_dense/labels/0066.tif
67,kidney_1_dense_0067,kidney_1_dense,67,1303,912,train/kidney_1_dense/images/0067.tif,train/kidney_1_dense/labels/0067.tif
68,kidney_1_dense_0068,kidney_1_dense,68,1303,912,train/kidney_1_dense/images/0068.tif,train/kidney_1_dense/labels/0068.tif
69,kidney_1_dense_0069,kidney_1_dense,69,1303,912,train/kidney_1_dense/images/0069.tif,train/kidney_1_dense/labels/0069.tif
70,kidney_1_dense_0070,kidney_1_dense,70,1303,912,train/kidney_1_dense/images/0070.tif,train/kidney_1_dense/labels/0070.tif
71,kidney_1_dense_0071,kidney_1_dense,71,1303,912,train/kidney_1_dense/images/0071.tif,train/kidney_1_dense/labels/0071.tif
72,kidney_1_dense_0072,kidney_1_dense,72,1303,912,train/kidney_1_dense/images/0072.tif,train/kidney_1_dense/labels/0072.tif
73,kidney_1_dense_0073,kidney_1_dense,73,1303,912,train/kidney_1_dense/images/0073.tif,train/kidney_1_dense/labels/0073.tif
74,kidney_1_dense_0074,kidney_1_dense,74,1303,912,train/kidney_1_dense/images/0074.tif,train/kidney_1_dense/labels/0074.tif
75,kidney_1_dense_0075,kidney_1_dense,75,1303,912,train/kidney_1_dense/images/0075.tif,train/kidney_1_dense/labels/0075.tif
76,kidney_1_dense_0076,kidney_1_dense,76,1303,912,train/kidney_1_dense/images/0076.tif,train/kidney_1_dense/labels/0076.tif
